업종,기인물_품목,건수
서비스업,지게차,26
서비스업,화물자동차,18
서비스업,복합사례집·가이드,16
서비스업,사다리,16
서비스업,벌도목(나무),14
서비스업,차량,14
서비스업,작업발판,11
서비스업,지붕,11
서비스업,크레인,11
서비스업,비계,11
서비스업,리프트,9
서비스업,적재물,8
서비스업,로더,8
서비스업,굴착기,8
서비스업,미분류,8
서비스업,전기설비,7
서비스업,컨베이어,7
서비스업,승강기,6
서비스업,선박,6
서비스업,계단,6
서비스업,개구부,5
서비스업,고소작업대,4
서비스업,수중(물),4
서비스업,탱크,4
서비스업,저장탱크,4
서비스업,기계식주차설비,4
서비스업,건물외벽,4
서비스업,고온(온열),3
서비스업,롤,3
서비스업,화단,3
서비스업,드럼,3
서비스업,청소차량,3
서비스업,옹벽,3
서비스업,엘리베이터,2
서비스업,저수조,2
서비스업,배관,2
서비스업,세차기,2
서비스업,표지구조물,2
서비스업,타이어(차량부속),2
서비스업,바닥(전도),2
서비스업,롤러,2
서비스업,파이프,2
서비스업,트레일러,2
서비스업,간이리프트,2
서비스업,대차,2
서비스업,수조(물),2
서비스업,전선,2
서비스업,호퍼,2
서비스업,난간,2
서비스업,골프카트,2
서비스업,절단기,2
서비스업,가스,2
서비스업,작업대,1
서비스업,와이어로프,1
서비스업,고철,1
서비스업,파쇄기,1
서비스업,바닥(미끄럼),1
서비스업,유해가스,1
서비스업,혼합기,1
서비스업,스키드로더,1
서비스업,국솥,1
서비스업,오더피커,1
서비스업,벨트,1
서비스업,반응기,1
서비스업,보일러,1
서비스업,카트,1
서비스업,기관차,1
서비스업,기타,1
서비스업,기계·기구,1
서비스업,양중기,1
서비스업,화물,1
서비스업,기계식 주차장치,1
서비스업,소각로,1
서비스업,램피더,1
서비스업,포장기,1
서비스업,형강,1
서비스업,집게차,1
서비스업,스위퍼,1
서비스업,덤프트럭,1
서비스업,수로,1
서비스업,프레스,1
서비스업,산소결핍공기,1
서비스업,도어,1
서비스업,크러셔,1
서비스업,덮개,1
서비스업,용접작업,1
서비스업,집수조,1
서비스업,분쇄기,1
서비스업,배전반,1
서비스업,강관,1
제조업,지게차,66
제조업,크레인,50
제조업,컨베이어,36
제조업,리프트,34
제조업,전기설비,24
제조업,적재물,20
제조업,프레스,19
제조업,미분류,19
제조업,화물자동차,19
제조업,산업용로봇,16
제조업,드럼,16
제조업,사다리,14
제조업,저장탱크,14
제조업,가스,13
제조업,코일,13
제조업,지붕,13
제조업,혼합기,12
제조업,중량물,11
제조업,덮개,11
제조업,작업발판,11
제조업,벌도목(나무),11
제조업,용접작업,11
제조업,로더,11
제조업,롤,11
제조업,분진,10
제조업,탱크,10
제조업,분쇄기,10
제조업,사출성형기,9
제조업,충전부,9
제조업,압축기,8
제조업,유기용제,7
제조업,수중(물),7
제조업,계단,7
제조업,개구부,7
제조업,난간,7
제조업,선반,7
제조업,성형기,7
제조업,차량,7
제조업,고소작업대,6
제조업,화학물질,6
제조업,롤러,6
제조업,벨트,6
제조업,배합기,6
제조업,용해로,6
제조업,전선,6
제조업,호퍼,6
제조업,배관,5
제조업,금형,5
제조업,바닥(전도),5
제조업,갠트리크레인,5
제조업,파쇄기,5
제조업,대차,5
제조업,맨홀,5
제조업,인화성물질,5
제조업,보일러,5
제조업,변압기,5
제조업,압력용기,5
제조업,비계,5
제조업,인쇄기,4
제조업,회전축,4
제조업,도금약품,4
제조업,승강기,4
제조업,불활성가스,4
제조업,작업대,3
제조업,자재,3
제조업,청소차량,3
제조업,파이프,3
제조업,강관,3
제조업,절단기,3
제조업,교반기,3
제조업,소각로,3
제조업,반응기,3
제조업,톤백(중량물),3
제조업,표지구조물,3
제조업,지브크레인,3
제조업,압출기,3
제조업,철판,3
제조업,저수조,2
제조업,큐빙기,2
제조업,복합사례집·가이드,2
제조업,팰릿,2
제조업,열교환기,2
제조업,유해가스,2
제조업,다이캐스팅기,2
제조업,조형기,2
제조업,권취기,2
제조업,연삭기,2
제조업,고철,2
제조업,덤프트럭,2
제조업,해머,2
제조업,저장조,2
제조업,와이어로프,2
제조업,롤러기,1
제조업,피트,1
제조업,원료(분체),1
제조업,타발기,1
제조업,비산재(분체),1
제조업,밀링기,1
제조업,굴착기,1
제조업,철근,1
제조업,전단기,1
제조업,카트,1
제조업,트레일러,1
제조업,점착제,1
제조업,세척조,1
제조업,줄걸이용구,1
제조업,항온항습기,1
제조업,압력솥,1
제조업,거푸집,1
제조업,산소결핍공기,1
제조업,배풍기,1
제조업,크러셔,1
제조업,래들(용융물),1
제조업,세척기,1
제조업,사일로,1
제조업,전기로,1
제조업,전기(아크),1
제조업,건물외벽,1
제조업,옹벽,1
제조업,선박,1
제조업,팔파기,1
제조업,산소용기,1
제조업,바닥(미끄럼),1
제조업,머시닝센터,1
제조업,제진기,1
제조업,도어,1
제조업,바스켓캐리어,1
제조업,곡직설비,1
제조업,지그,1
제조업,정화조,1
제조업,포장기,1
제조업,기계식주차설비,1
제조업,가공기,1
제조업,풀리,1
제조업,호이스트,1
제조업,주물,1
제조업,간이리프트,1
제조업,타워크레인,1
