대업종,중업종,규모,총계,떨어짐,넘어짐,부딪힘,맞음,무너짐,끼임,절단베임찔림,감전,폭발파열,화재,깔림뒤집힘,이상온도물체접촉,빠짐익사,불균형및무리한동작,화학물질누출접촉,산소결핍,사업장내교통사고,사업장외교통사고,체육행사,폭력행위,동물상해,기타,분류불능
금융및보험업,금융및보험업,5인 미만,46,3,23,3,2,0,4,1,0,0,0,0,1,0,2,0,0,0,4,3,0,0,0,0
금융및보험업,금융및보험업,5인 ~ 9인,38,4,19,2,0,0,3,2,0,0,0,0,0,0,2,0,0,0,2,1,0,3,0,0
금융및보험업,금융및보험업,10인 ~ 19인,88,7,39,6,1,0,5,7,0,0,0,3,2,0,4,0,0,0,2,11,0,1,0,0
금융및보험업,금융및보험업,20인 ~ 29인,45,1,18,2,5,0,6,1,0,0,0,1,2,0,1,0,0,0,5,1,1,1,0,0
금융및보험업,금융및보험업,30인 ~ 49인,78,4,27,10,1,0,3,5,0,0,0,1,2,0,4,0,0,0,5,13,0,3,0,0
금융및보험업,금융및보험업,50인 ~ 99인,72,1,31,5,5,0,4,2,0,0,0,1,0,0,6,0,0,0,6,8,0,3,0,0
금융및보험업,금융및보험업,100인 ~ 299인,34,1,14,2,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,7,0,2,0,0
금융및보험업,금융및보험업,300인 ~ 499인,9,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0
금융및보험업,금융및보험업,500인 ~ 999인,14,0,6,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
금융및보험업,금융및보험업,1000인 이상,115,2,67,6,3,0,0,2,0,0,0,1,1,0,8,0,0,0,9,15,1,0,0,0
광업,석탄광업및채석업,5인 미만,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광업,석탄광업및채석업,5인 ~ 9인,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광업,석탄광업및채석업,10인 ~ 19인,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광업,석탄광업및채석업,20인 ~ 29인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광업,석탄광업및채석업,30인 ~ 49인,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
