no,subject,phase,source,ref,text,verdict,correct_phase
"절2 붕괴 등에 의한 위험 방지","붕괴 등에 의한 위험 방지","PLAN","조문(전용)","제52조","구축물등의 안전성 평가","ok",""
"절2 붕괴 등에 의한 위험 방지","붕괴 등에 의한 위험 방지","EXEC","조문(전용)","제53조","계측장치의 설치 등","move","PRECHECK"
"절2 공작기계","공작기계","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절3 프레스 및 전단기","프레스 및 전단기","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절4 목재가공용 기계","목재가공용 기계","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절5 원심기 및 분쇄기등","원심기 및 분쇄기등","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절5 원심기 및 분쇄기등","원심기 및 분쇄기등","PRECHECK","법령(시행규칙)","시행규칙 제98조","방호조치","ok",""
"절6 고속회전체","고속회전체","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절7 보일러 등","보일러 등","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절7 보일러 등","보일러 등","EXEC","조문(기계 일반기준 상속)","제88조","기계의 동력차단장치","off",""
"절8 사출성형기 등","사출성형기 등","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절8 사출성형기 등","사출성형기 등","EXEC","조문(기계 일반기준 상속)","제90조","날아오는 가공물 등에 의한 위험의 방지","ok",""
"절9 양중기 > 관3 이동식 크레인","양중기 > 이동식 크레인","PRECHECK","조문(절 총칙)","제134조","방호장치의 조정","ok",""
"절9 양중기 > 관3 이동식 크레인","양중기 > 이동식 크레인","EXEC","조문(절 총칙)","제134조","방호장치의 조정","off",""
"절9 양중기 > 관4 리프트","양중기 > 리프트","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절9 양중기 > 관4 리프트","양중기 > 리프트","PRECHECK","조문(절 총칙)","제134조","방호장치의 조정","ok",""
"절9 양중기 > 관4 리프트","양중기 > 리프트","EXEC","조문(절 총칙)","제134조","방호장치의 조정","off",""
"절9 양중기 > 관5 곤돌라","양중기 > 곤돌라","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절9 양중기 > 관5 곤돌라","양중기 > 곤돌라","PRECHECK","조문(절 총칙)","제134조","방호장치의 조정","ok",""
"절9 양중기 > 관5 곤돌라","양중기 > 곤돌라","EXEC","조문(절 총칙)","제134조","방호장치의 조정","off",""
"절9 양중기 > 관6 승강기","양중기 > 승강기","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절9 양중기 > 관6 승강기","양중기 > 승강기","PRECHECK","조문(절 총칙)","제134조","방호장치의 조정","ok",""
"절9 양중기 > 관6 승강기","양중기 > 승강기","EXEC","조문(절 총칙)","제134조","방호장치의 조정","off",""
"절9 양중기 > 관7 양중기의 와이어로프 등","양중기 > 양중기의 와이어로프 등","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절9 양중기 > 관7 양중기의 와이어로프 등","양중기 > 양중기의 와이어로프 등","PRECHECK","조문(절 총칙)","제134조","방호장치의 조정","off",""
"절9 양중기 > 관7 양중기의 와이어로프 등","양중기 > 양중기의 와이어로프 등","EXEC","조문(절 총칙)","제134조","방호장치의 조정","off",""
"절9 양중기 > 관7 양중기의 와이어로프 등","양중기 > 양중기의 와이어로프 등","EXEC","조문(기계 일반기준 상속)","제93조","방호장치의 해체 금지","off",""
"절9 양중기 > 관7 양중기의 와이어로프 등","양중기 > 양중기의 와이어로프 등","POST","조문(기계 일반기준 상속)","제93조","방호장치의 해체 금지","off",""
"절10 차량계 하역운반기계등 > 관2 지게차","차량계 하역운반기계등 > 지게차","PRECHECK","법령(시행규칙)","시행규칙 제98조","방호조치","ok",""
"절10 차량계 하역운반기계등 > 관3 구내운반차","차량계 하역운반기계등 > 구내운반차","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절10 차량계 하역운반기계등 > 관4 고소작업대","차량계 하역운반기계등 > 고소작업대","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절10 차량계 하역운반기계등 > 관5 화물자동차","차량계 하역운반기계등 > 화물자동차","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절11 컨베이어","컨베이어","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절11 컨베이어","컨베이어","EXEC","조문(기계 일반기준 상속)","제90조","날아오는 가공물 등에 의한 위험의 방지","off",""
"절12 건설기계 등 > 관1 차량계 건설기계 등","건설기계 등 > 차량계 건설기계 등","PLAN","별표 4(이름매칭)","제38조제1항 · 차량계 건설기계를 사용하는 작업","사용하는 차량계 건설기계의 종류 및 성능","ok",""
"절12 건설기계 등 > 관1 차량계 건설기계 등","건설기계 등 > 차량계 건설기계 등","PLAN","별표 4(이름매칭)","제38조제1항 · 차량계 건설기계를 사용하는 작업","차량계 건설기계의 운행경로","ok",""
"절12 건설기계 등 > 관1 차량계 건설기계 등","건설기계 등 > 차량계 건설기계 등","PLAN","별표 4(이름매칭)","제38조제1항 · 차량계 건설기계를 사용하는 작업","차량계 건설기계에 의한 작업방법","ok",""
"절12 건설기계 등 > 관1 차량계 건설기계 등","건설기계 등 > 차량계 건설기계 등","PLAN","별표 4(사전조사·이름매칭)","차량계 건설기계를 사용하는 작업","해당 기계의 굴러 떨어짐, 지반의 붕괴 등으로 인한 근로자의 위험을 방지하기 위한 해당 작업장소의 지형 및 지반 상태","ok",""
"절12 건설기계 등 > 관2 항타기 및 항발기","건설기계 등 > 항타기 및 항발기","EXEC","조문(전용)","제221조","가스배관 등의 손상 방지","off",""
"절12 건설기계 등 > 관3 굴착기","건설기계 등 > 굴착기","EXEC","조문(기계 일반기준 상속)","제87조","원동기ㆍ회전축 등의 위험 방지","off",""
"절12 건설기계 등 > 관3 굴착기","건설기계 등 > 굴착기","EXEC","조문(기계 일반기준 상속)","제88조","기계의 동력차단장치","off",""
"절12 건설기계 등 > 관3 굴착기","건설기계 등 > 굴착기","EXEC","조문(기계 일반기준 상속)","제90조","날아오는 가공물 등에 의한 위험의 방지","off",""
"절13 산업용 로봇","산업용 로봇","ASSIGN","법령(법)","법 제140조","자격 등에 의한 취업 제한 등","off",""
"절13 산업용 로봇","산업용 로봇","EXEC","조문(기계 일반기준 상속)","제90조","날아오는 가공물 등에 의한 위험의 방지","off",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","밸브ㆍ콕 등의 조작(해당 화학설비에 원재료를 공급하거나 해당 화학설비에서 제품 등을 꺼내는 경우만 해당한다)","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","냉각장치ㆍ가열장치ㆍ교반장치(攪拌裝置) 및 압축장치의 조작","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","계측장치 및 제어장치의 감시 및 조정","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","안전밸브, 긴급차단장치, 그 밖의 방호장치 및 자동경보장치의 조정","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","덮개판ㆍ플랜지(flange)ㆍ밸브ㆍ콕 등의 접합부에서 위험물 등의 누출 여부에 대한 점검","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","시료의 채취","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","화학설비에서는 그 운전이 일시적 또는 부분적으로 중단된 경우의 작업방법 또는 운전 재개 시의 작업방법","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","이상 상태가 발생한 경우의 응급조치","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","위험물 누출 시의 조치","ok",""
"절4 화학설비ㆍ압력용기 등","화학설비ㆍ압력용기 등","PLAN","별표 4(이름매칭)","제38조제1항 · 화학설비와 그 부속설비 사용작업","그 밖에 폭발ㆍ화재를 방지하기 위하여 필요한 조치","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","전기작업의 목적 및 내용","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","전기작업 근로자의 자격 및 적정 인원","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","작업 범위, 작업책임자 임명, 전격ㆍ아크 섬광ㆍ아크 폭발 등 전기 위험 요인 파악, 접근 한계거리, 활선접근 경보장치 휴대 등 작업시작 전에 필요한 사항","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","제319조에 따른 전로 차단에 관한 작업계획 및 전원(電源) 재투입 절차 등 작업 상황에 필요한 안전 작업 요령","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","절연용 보호구 및 방호구, 활선작업용 기구ㆍ장치 등의 준비ㆍ점검ㆍ착용ㆍ사용 등에 관한 사항","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","점검ㆍ시운전을 위한 일시 운전, 작업 중단 등에 관한 사항","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","교대 근무 시 근무 인계(引繼)에 관한 사항","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","전기작업장소에 대한 관계 근로자가 아닌 사람의 출입금지에 관한 사항","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","전기안전작업계획서를 해당 근로자에게 교육할 수 있는 방법과 작성된 전기안전작업계획서의 평가ㆍ관리계획","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","PLAN","별표 4(이름매칭)","제38조제1항 · 제318조에 따른 전기작업","전기 도면, 기기 세부 사항 등 작업과 관련되는 자료","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","작업구간 내의 충전전로 등 모든 충전시설을 점검하는 일","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","작업방법 및 그 순서를 결정(근로자 교육 포함)하고 작업을 지휘하는 일","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","작업근로자의 보호구 또는 절연용 보호구 착용 상황을 감시하고 감전재해 요소를 제거하는 일","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","작업 공구, 절연용 방호구 등의 결함 여부와 기능을 점검하고 불량품을 제거하는 일","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","작업장소에 관계 근로자 외에는 출입을 금지하고 주변 작업자와의 연락을 조정하며 도로작업 시 차량 및 통행인 등에 대한 교통통제 등 작업전반에 대해 지휘·감시하는 일","ok",""
"절3 전기작업에 대한 위험 방지","전기작업에 대한 위험 방지","ASSIGN","별표 2(이름매칭)","제35조제1항 · 전로 등 전기작업 또는 그 지지물의 ","활선작업용 기구를 사용하여 작업할 때 안전거리가 유지되는지 감시하는 일","ok",""
