순번,조문,제목,시작페이지,종료페이지,방식,파일명
1,제1조,목적,10,10,card,001_제1조_목적.pdf
2,제2조,정의,10,10,card,002_제2조_정의.pdf
3,제3조,전도의 방지,12,12,card,003_제3조_전도의 방지.pdf
4,제4조,작업장의 청결,12,12,card,004_제4조_작업장의 청결.pdf
5,제5조,오염된 바닥의 세척 등,12,12,card,005_제5조_오염된 바닥의 세척 등.pdf
6,제6조,오물의 처리 등,13,13,card,006_제6조_오물의 처리 등.pdf
7,제7조,채광 및 조명,13,13,card,007_제7조_채광 및 조명.pdf
8,제8조,조도,13,13,card,008_제8조_조도.pdf
9,제9조,작업발판 등,14,14,card,009_제9조_작업발판 등.pdf
10,제10조,작업장의 창문,14,14,card,010_제10조_작업장의 창문.pdf
11,제11조,작업장의 출입구,14,14,card,011_제11조_작업장의 출입구.pdf
12,제12조,동력으로 작동되는 문의 설치 조건,15,15,card,012_제12조_동력으로 작동되는 문의 설치 조건.pdf
13,제13조,안전난간의 구조 및 설치요건,15,15,card,013_제13조_안전난간의 구조 및 설치요건.pdf
14,제14조,낙하물에 의한 위험의 방지,16,16,card,014_제14조_낙하물에 의한 위험의 방지.pdf
15,제15조,투하설비 등,16,16,card,015_제15조_투하설비 등.pdf
16,제16조,위험물 등의 보관,16,16,card,016_제16조_위험물 등의 보관.pdf
17,제17조,비상구의 설치,17,17,card,017_제17조_비상구의 설치.pdf
18,제18조,비상구 등의 유지,17,17,card,018_제18조_비상구 등의 유지.pdf
19,제19조,경보용 설비 등,17,17,card,019_제19조_경보용 설비 등.pdf
20,제20조,출입의 금지 등,18,18,card,020_제20조_출입의 금지 등.pdf
21,제21조,통로의 조명,20,20,card,021_제21조_통로의 조명.pdf
22,제22조,통로의 설치,20,20,card,022_제22조_통로의 설치.pdf
23,제23조,가설통로의 구조,20,20,card,023_제23조_가설통로의 구조.pdf
24,제24조,사다리식 통로 등의 구조,21,21,card,024_제24조_사다리식 통로 등의 구조.pdf
25,제25조,갱내통로 등의 위험 방지,22,22,card,025_제25조_갱내통로 등의 위험 방지.pdf
26,제26조,계단의 강도,22,22,card,026_제26조_계단의 강도.pdf
27,제27조,계단의 폭,22,22,card,027_제27조_계단의 폭.pdf
28,제28조,계단참의 설치,23,23,card,028_제28조_계단참의 설치.pdf
29,제29조,천장의 높이,23,23,card,029_제29조_천장의 높이.pdf
30,제30조,계단의 난간,23,23,card,030_제30조_계단의 난간.pdf
31,제31조,보호구의 제한적 사용,25,25,card,031_제31조_보호구의 제한적 사용.pdf
32,제32조,보호구의 지급 등,25,25,card,032_제32조_보호구의 지급 등.pdf
33,제33조,보호구의 관리,26,26,card,033_제33조_보호구의 관리.pdf
34,제34조,전용 보호구 등,26,26,card,034_제34조_전용 보호구 등.pdf
35,제35조,관리감독자의 유해·위험 방지 업무 등,28,28,card,035_제35조_관리감독자의 유해·위험 방지 업무 등.pdf
36,제36조,사용의 제한,28,28,card,036_제36조_사용의 제한.pdf
37,제37조,악천후 및 강풍 시 작업 중지,28,28,card,037_제37조_악천후 및 강풍 시 작업 중지.pdf
38,제38조,사전조사 및 작업계획서의 작성 등,28,28,card,038_제38조_사전조사 및 작업계획서의 작성 등.pdf
39,제39조,작업지휘자의 지정,29,29,card,039_제39조_작업지휘자의 지정.pdf
40,제40조,신호,29,29,card,040_제40조_신호.pdf
41,제41조,운전위치의 이탈금지,30,30,card,041_제41조_운전위치의 이탈금지.pdf
42,제42조,추락의 방지,32,32,card,042_제42조_추락의 방지.pdf
43,제43조,개구부 등의 방호 조치,33,33,card,043_제43조_개구부 등의 방호 조치.pdf
44,제44조,안전대의 부착설비 등,33,33,card,044_제44조_안전대의 부착설비 등.pdf
