baseline_id,guide_code,title,profile_level,procedure_role,photo_matchability,primary_rank,wp_id,profile_wp_title,source_wp_title,source_wp_section,base_ttl_owners,status
ci_unrelated_action_filter1,A-1-2018,"구리에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,1,WP-A1-03,검량선 작성 및 정도관리,검량선 작성 및 정도관리,III,A-1-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-1-2018,"구리에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,2,WP-A1-04,원자흡광광도계 분석,원자흡광광도계 분석,III,A-1-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-1-2018,"구리에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,3,WP-A1-01,시료채취,시료채취,I,A-1-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-1-2018,"구리에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,4,WP-A1-02,시료 전처리,시료 전처리,II,A-1-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-10-2018,"알루미늄에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,1,WP-A10-03,검량선 작성 및 정도관리,검량선 작성 및 정도관리,10,A-10-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-10-2018,"알루미늄에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,2,WP-A10-04,기기 분석(원자흡광광도계 측정),기기 분석(원자흡광광도계 측정),10,A-10-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-10-2018,"알루미늄에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,3,WP-A10-01,시료채취,시료채취,8,A-10-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-10-2018,"알루미늄에대한작업환경측정,분석기술지침",exclusive,measurement_analysis,photo_unmatchable,4,WP-A10-02,시료 전처리(산 회화),시료 전처리(산 회화),9,A-10-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-100-2018,"디메틸아닐린에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,1,WP-A100-04,검량선 작성 및 정도관리,검량선 작성 및 정도관리,6-III,A-100-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-100-2018,"디메틸아닐린에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,2,WP-A100-01,시료채취 준비,시료채취 준비,6-I,A-100-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-100-2018,"디메틸아닐린에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,3,WP-A100-02,시료채취(공기포집),시료채취(공기포집),6-I,A-100-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-100-2018,"디메틸아닐린에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,4,WP-A100-03,시료 전처리(탈착),시료 전처리(탈착),6-II,A-100-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-100-2018,"디메틸아닐린에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,5,WP-A100-05,기기분석(GC-FID),기기분석(GC-FID),6-III,A-100-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-101-2018,"테트라하이드로퓨란에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,1,WP-A101-03,검량선 작성 및 정도관리,검량선 작성 및 정도관리,6-III,A-101-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-101-2018,"테트라하이드로퓨란에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,2,WP-A101-01,시료채취,시료채취,6-I,A-101-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-101-2018,"테트라하이드로퓨란에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,3,WP-A101-02,시료 전처리,시료 전처리,6-II,A-101-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-101-2018,"테트라하이드로퓨란에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,4,WP-A101-04,기기분석,기기분석,6-III,A-101-2018,present_in_base_ttl_same_guide
ci_unrelated_action_filter1,A-102-2018,"황산디메틸에 대한 작업환경측정,분석 기술지침_개정",exclusive,measurement_analysis,photo_unmatchable,1,WP-A102-02,시료채취,시료채취,6-I,A-102-2018,present_in_base_ttl_same_guide
